CHARACTER_ID,RACE,BACKGROUND,PRIMARY_CLASS,SUBCLASS,CHAR_LEVEL,FEATS,HITPOINTS,ARMOUR_CLASS,STRENGTH,DEXTERITY,CONSTITUTION,INTELLIGENCE,WISDOM,CHARISMA,ALIGNMENT,SKILLS,WEAPONS,SPELLS
a18c47,Stout Halfling,Cloistered Scholar,Wizard,School of Necromancy,16,War Caster|Second Chance,144,11,10,13,16,20,13,13,,Arcana|History|Investigation|Religion,Dagger,Animate Dead*3
c22cbc,Dragonborn,Haunted One,Fighter,Battle Master,16,,216,16,20,20,20,14,14,14,,Athletics|History|Investigation|Survival,Shortsword|Shortsword|,
a9a61d,Turtle,Criminal,Druid,Circle of the Land,16,,153,14,10,12,18,13,20,10,,Stealth|Nature|Animal Handling|Survival|Deception,Scimitar,Barkskin*2|Spider Climb*2|Call Lightning*3|Plant Growth*3|Divination*4|Freedom of Movement*4|Commune with Nature*5|Tree Stride*5
cb9242,Goblin,Criminal,Sorcerer,Wild Magic,16,Lucky,104,13,8,17,14,12,10,20,,Stealth|Arcana|Deception|Intimidation,Quarterstaff|Dagger,
2b842f,Lizardfolk,Mercenary Veteran,Fighter,Champion,16,,164,16,20,16,18,12,12,9,,Athletics|Acrobatics|Insight|Perception|Survival|Persuasion,Greatsword|Warhammer,
f11604,Human,Noble,Wizard,School of Conjuration,16,Inspiring Leader|Tough,130,10,8,10,14,20,12,16,Lawful Evil,Arcana|History|Insight|Intimidation|Persuasion,Dagger,Infestation*0|Mage Hand*0|Friends*0|Message*0|Shocking Grasp*0|Find Familiar (R) (C)*1|Unseen Servant (R) (C)*1|Cause Fear*1|Disguise Self*1|Detect Magic*1|Mage Armor*1|Identify*1|Comprehend Languages*1|Charm Person*1|Crown Of Madness*2|Detect Thoughts*2|Dust Devil (C)*2|Hold Person*2|Mind Spike*2|Ray Of Enfeeblement*2|Animate Dead*3|Summon Lesser Demons (C)*3|Phantom Steed (R)*3|Fireball*3|Fear*3|Hypnotic Pattern*3|Conjure Minor Elementals (C)*4|Mordenkainen's Faithful Hound (C)*4|Summon Greater Demon (C)*4|Phantasmal Killer*4|Conjure Elemental (C)*5|Cloudkill (C)*5|Mental Prison*6|Soul Cage*6|Disintegrate*6|Circle Of Death*6|Mordenkainen's Magnificent Mansion (C)*7|Crown Of Stars*7|Mighty Fortress*8|Maddening Darkness*8|Antipathy/Sympathy*8
f218b2,High Elf,Inheritor,Warlock,The Great Old One,16,Keen Mind,111,14,9,16,15,13,12,17,Neutral Evil,Arcana|Perception|Survival|Deception|Intimidation|Persuasion,Dagger,Eldritch Blast*0|Prestidigitation*0|Minor Illusion*0|Lightning Lure*0|Vicious Mockery*0|Mold Earth*0|Friends*0|Hex*1|Hellish Rebuke*1|Comprehend Languages*1|Misty Step*2|Mirror Image*2|Ray Of Infeeblement*2|Fly*3|Remove Curse*3|Hunger Of Hadar*3|Dimension Door*4|Banishment*4|Hold Monster*5|Negative Energy Flood*5|Danse Macabre*5
19ad09,Human,Knight,Paladin,Oath of Devotion,16,,229,18,16,13,18,14,12,14,,History|Insight|Intimidation|Persuasion,Javelin,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4
58683a,Wood Elf,Noble,Ranger,Beast Master,16,,150,16,12,20,14,12,12,14,,Stealth|History|Animal Handling|Perception|Survival|Persuasion,Shortsword|Longbow,Hunters Mark*1|Animal Friendship *1|Speak With Animals *1|Cure Wounds*1|Lesser Restoration *2|Pass Without A Trace*2|Spike Growth*2|Wind Wall*3|Water Breathing *3|Speak With Plants*3|Conjure Woodland Beings*4|Locate Creature *4
2060ca,Human,Soldier,Paladin,Oath of Vengeance,15,Polearm Master|Great Weapon Master|Resilient,169,18,25,10,18,8,13,17,,Athletics|Insight|Perception|Intimidation|Persuasion,Halberd +1|Javelin|Halberd +1 GWM,Bane*1|Hunter‰Ûªs Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4
cd6bd2,Human,Soldier,Barbarian,Path of the Totem Warrior,15,Sentinel|Polearm Master,201,20,25,18,18,8,12,10,,Athletics|Nature|Perception|Survival|Intimidation,Halberd|Handaxe|Javelin|Halberd Butt,
de118c,Human,Pirate,Barbarian,Path of the Totem Warrior,15,Sentinel|Polearm Master,201,20,25,18,18,8,12,10,Chaotic Good,Athletics|Stealth|Perception|Survival|Intimidation,Handaxe|Battleaxe +1|Longbow|Battleaxe +1 Rage,
1ae626,Mountain Dwarf,Clan Crafter,Fighter,Champion,15,Squat Nimbleness|Shield Master|Skilled|Tough,169,20,20,8,16,12,14,8,,Athletics|History|Investigation|Nature|Animal Handling|Insight|Perception|Survival,Warhammer|Handaxe,
d3310c,Human,Soldier,Paladin,Oath of Vengeance,15,Polearm Master|Great Weapon Master|Resilient,132,16,18,10,14,8,10,16,,Athletics|Insight|Perception|Intimidation|Persuasion,Halberd|Javelin,Bane*1|Hunter‰Ûªs Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4
5324c0,High Elf,Urban Bounty Hunter,Fighter,Eldritch Knight,15,War Caster|Sentinel|Resilient,139,24,19,20,14,16,12,8,chaotic good,Acrobatics|Stealth|Insight|Perception|Survival,"Rapier|Crossbow, light",
41f232,Half-Orc,Far Traveler,Paladin,Oath of Vengeance,15,Great Weapon Master,153,16,18,10,16,8,10,16,Chaotic Good,Athletics|Insight|Perception|Intimidation|Persuasion,Greatsword|Javelin,Bane*1|Hunter‰Ûªs Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4
20622f,High Elf,Sailor,Fighter,Battle Master,15,Crossbow Expert|Sharpshooter,170,16,8,20,18,9,14,10,,Athletics|Perception|Survival|Intimidation,"Crossbow, heavy|Crossbow, light",
30f9b9,Deep Gnome,Mercenary Veteran,Barbarian,Path of the Berserker,15,,200,15,15,14,17,12,10,14,,Athletics|Intimidation|Persuasion,Greataxe|Handaxe|Javelin,
9368d0,Half-Orc,Knight,Fighter,Battle Master,15,Great Weapon Master,225,16,20,14,20,15,14,13,,History|Animal Handling|Insight|Intimidation|Persuasion,"Greatsword|Whip|Crossbow, light",
37842a,Half-Elf,Far Traveler,Ranger,Beast Master,15,,151,15,10,19,14,12,14,15,,Investigation|Nature|Animal Handling|Insight|Perception,Shortsword|Longbow,
e97ae1,Wood Elf,Folk Hero,Druid,Circle of the Moon,15,,118,14,9,17,14,12,19,9,,Nature|Animal Handling|Medicine|Perception|Survival,Quarterstaff|Scimitar,
4b9745,High Elf,Urchin,Rogue,Arcane Trickster,15,,104,14,11,19,13,17,11,12,,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion,Rapier|Shortbow|Dagger,
b5a5b4,Dragonborn,Acolyte,Sorcerer,Draconic Bloodline,15,,119,14,12,13,15,13,9,20,,Arcana|Religion|Insight|Intimidation,"Crossbow, light|Dagger",
7a4887,Dark Elf,Acolyte,Cleric,Life Domain,15,,118,18,16,14,13,10,18,11,,Religion|Insight|Medicine|Perception|Persuasion,"Mace|Crossbow, light",Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5
c3bece,Goliath,Folk Hero,Barbarian,Path of the Totem Warrior,15,,202,16,19,14,19,8,11,9,,Athletics|Nature|Animal Handling|Survival|Intimidation,Greataxe|Javelin,
c96884,Half-Orc,Clan Crafter,Barbarian,Path of the Berserker,14,Great Weapon Master|Tough,159,16,20,11,15,7,12,12,,History|Insight|Perception|Survival|Intimidation,Greataxe|Javelin,
b2d598,Forest Gnome,Port City Noble,Fighter,Eldritch Knight,14,Skilled|Polearm Master|Fade Away|Linguist|Squat Nimbleness,88,16,19,15,10,19,14,10,,Acrobatics|Arcana|History|Nature|Religion|Insight|Survival|Persuasion,Trident,True Strike*0|Shape Water*0|Prestidigitation*0|Shield*1|Thunderwave*1|Identify*1|Comprehend Languages*1|Dragon's Breath (Lightning) *2|Misty Step*2|See Invisibility*2|Haste*3|Fireball*3|Counterspell*3
3b4031,High Elf,Knight,Mystic,Order of the Soul Knife,14,Elven Accuracy|Resilient,115,17,10,20,16,12,10,10,,Arcana|Insight|Medicine|Perception|Persuasion,"Spear|Crossbow, light|Soul Knife W/ PP",Green Flame Blade 2d8*0
0afx90d,Human,Soldier,Fighter,Purple Dragon Knight,14,Charger|Tough|Mobile|Alert,158,19,20,13,16,10,11,12,,Athletics|Perception|Survival|Intimidation|Persuasion,War pick|Handaxe,
84085a,Human,Outlander,Wizard,School of Abjuration,14,Observant,58,19,9,14,10,20,17,17,Chaotic Neutral,Athletics|Arcana|History|Medicine|Survival,Quarterstaff,
8e441f,Human,Guild Artisan,Monk,Way of the Drunken Master,13,Alert,69,19,8,20,13,10,18,10,,Acrobatics|Stealth|Religion|Insight|Performance|Persuasion,Shortsword|Dart|Unarmed strike,
4f5fa9,Variant,Urban Bounty Hunter,Rogue,Swashbuckler,13,,107,16,10,20,17,10,13,18,,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception,Rapier|Shortbow|Dagger,
e7b828,Hill Dwarf,Sailor,Cleric,Tempest Domain,13,,120,19,15,10,17,8,20,10,lawful good,Athletics|Religion|Insight|Perception,"Mace|Crossbow, light",Spare The Dying*0|Sacred Flame*0|Word Of Radiance *0|Toll The Dead*0|Resistance*0|Light*0|Fog Cloud*1|Thunderwave*1|Inflict Wound *1|Cure Wounds*1|Sanctuary *1|Guiding Bolt*1|Bless*1|Healing Word*1|Gust of Wind*2|Shatter*2|Spiritual Weapon*2|Hold Person*2|Call Lightning*3|Sleet Storm*3|Spirit Gaurdians*3|Life Transference *3|Revivify*3|Control Water*4|Ice Storm*4|Guardian Of Faith*4|Freedom Of Movement*4|Destructive Wave*5|Insect Plague*5|Flame Strike*5|Greater Restoration*5|Heal*6|Fire Storm*7
bfc357,Lightfoot Halfling,Criminal,Rogue,Thief,13,,94,15,14,18,14,13,10,14,,Sleight of Hand|Stealth|Deception|Persuasion,Shortsword|Shortbow|Dagger,
6f918e,Tabaxi,Criminal,Rogue,Mastermind,12,Actor|Keen Mind|Observant,75,14,12,16,12,15,18,16,,Sleight of Hand|Stealth|Insight|Perception|Deception|Intimidation|Persuasion,Rapier|Shortbow|Dagger,
b2a4fc,Firbolg,Acolyte,Cleric,Forge Domain,12,,111,18,14,10,18,13,20,12,,History|Religion|Insight|Medicine,"Mace|Crossbow, light",Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5
be80e1,Lightfoot Halfling,Criminal,Rogue,Thief,12,,87,19,14,18,14,13,10,14,Chaotic Good,Sleight of Hand|Stealth|Deception|Persuasion,Shortsword|Shortbow|Dagger,
afe304,Aarakocra,Far Traveler,Ranger,Beast Master,12,Lucky|Sharpshooter,88,15,10,19,12,10,12,14,,Athletics|Stealth|Animal Handling|Insight|Perception,Shortsword|Longbow,
ff0168,Half-Orc,Folk Hero,Fighter,Champion,12,Great Weapon Master,112,20,18,13,16,11,11,13,Chaotic Neutral,Athletics|Animal Handling|Perception|Survival|Intimidation,"Greatsword|Battleaxe|Magma Battleaxe|Crossbow, Light|Unarmed Strike",
5c97c9,Tabaxi,Folk Hero,Ranger,Hunter,12,Dual Wielder|Alert,89,16,8,18,12,10,15,14,CN,Athletics|Stealth|Investigation|Nature|Animal Handling|Perception|Survival,Longbow|Trident V|Net Of Reduce|Claws|Rapier,Ensnaring Strike*1|Hail Of Thorns*1|Hunters Mark*1|Cordon Of Arrows*2|Silence*2|Pass Without A Trace*2|Lightning Arrow*3|Conjure Barrage*3
a27429,Human,Courtier,Cleric,Forge Domain,12,Heavy Armor Master,119,17,20,12,18,10,14,9,,History|Religion|Insight|Medicine|Persuasion,"Mace|Crossbow, light",Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5
642f2c,Half-Orc,Barbarian Tribe Member,Barbarian,Path of the Zealot,12,,188,20,20,20,20,11,10,11,,Athletics|Nature|Perception|Survival|Intimidation,Greataxe|Handaxe|Javelin,
56b2db,Forest Gnome,Hermit,Wizard,School of Evocation,12,,100,14,13,18,16,20,16,14,,Arcana|Religion|Insight|Medicine,Quarterstaff,
321a37,Variant,Sage,Sorcerer,Draconic Bloodline,12,Observant,107,18,13,20,16,16,16,20,,Arcana|History|Insight|Persuasion,"Crossbow, light|Dagger",
7919c2,Scourge Aasimar,Knight,Paladin,Oath of Vengeance,12,,139,20,20,14,18,10,16,16,,History|Insight|Intimidation|Persuasion,Warhammer|Javelin,Bane*1|Hunter‰Ûªs Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3
2242xa7,Ghastly Halfling,Entertainer,Bard,College of Swords,12,,110,16,8,20,16,10,14,20,,Acrobatics|Stealth|Perception|Deception|Performance,"Dagger|Shortsword|Scimitar|Crossbow, light",
9a7b7f,Tiefling,Cloistered Scholar,Warlock,The Celestial,12,,117,16,10,20,16,12,18,20,,Arcana|History|Investigation|Nature,"Crossbow, light|Dagger",Light*0|Sacred Flame*0
033ce0,Shadow Elf,Outlander,Ranger,Hunter,12,Sharpshooter|Elven Accuracy,131,16,11,20,16,12,14,12,,Athletics|Stealth|Investigation|Nature|Perception|Survival,Shortsword|Longbow,
2242a7,Stout Halfling,Sailor,Rogue,Swashbuckler,12,Alert|Mobile,141,16,10,20,20,10,14,12,,Athletics|Sleight of Hand|Stealth|Investigation|Perception|Deception,Dagger|Shortsword|Scimitar,
c58946,Mountain Dwarf,Knight,Fighter,Samurai,12,Heavy Armor Master|Polearm Master|Sentinel,162,16,20,14,20,11,14,13,,History|Animal Handling|Perception|Intimidation|Persuasion,"Halberd|Maul|Crossbow, light",
624b00,Tortle,Folk Hero,Paladin,Oath of Ancients,12,Lucky,124,18,19,23,18,10,13,18,,Athletics|Animal Handling|Survival|Persuasion,Battleaxe|Javelin|claw attak|Greataxe|Mallet of silvanus,Ensnaring Strike*1|Speak with Animals R*1|Shield of faith*1|thunderous smite*1|Purify food and drink R*1|Compelled duel*1|protection from good and evil*1|Command*1|detect magic R*1|Bless*1|Wrathful smite*1|Divine Favour*1|Cure wounds*1|Moonbeam*2|Misty Step*2|Lesser restoration*2|Branding Strike*2|Find Steed*2|Zone of truth*2|Magic weapon*2|Plant Growth*3|Protection from Energy*3|Aura of Vitality*3|Remove curse*3|Daylight*3|Blinding smite*3|Elemental weapon*3
c0a87f,Turtle,Sage,Druid,Circle of spores,12,,76,19,10,16,14,10,20,11,chaotic neutral,Arcana|History|Nature|Animal Handling|Survival,Quarterstaff,Chill Touch*0|+Gentle Repose*2|+Ray Of Enfeeblement*2|+Animate Dead*3|+Gaseous Form*3|+Blight*4|+confusion*4|+cloud Kill*5|+contagion*5
e3adef,Half-Orc,Clan Crafter,Sorcerer,Storm Sorcery,11,Spell Sniper,95,11,13,13,18,8,8,20,,History|Insight|Deception|Intimidation|Persuasion,Mace|Dagger,
fc6b06,Scourge Aasimar,Knight,Paladin,Oath of Vengeance,11,,127,20,18,14,18,10,16,16,,History|Insight|Intimidation|Persuasion,Warhammer|Javelin,Bane*1|Hunter‰Ûªs Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3
e6c8ab,Human,Urban Bounty Hunter,Rogue,Mastermind,10,Healer,24,15,17,16,15,13,12,9,Neutral,Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception,"Dagger|Dagger|Crossbow, light|ScaleDeep Dagger",
458a02,Skellington,Hermit,Monk,Way of the Sun Soul,10,Sentinel,63,18,8,20,13,8,16,6,Neutral,Acrobatics|Stealth|Religion|Insight|Medicine,Unarmed strike,
e6f0d7,Dragonborn,Courtier,Sorcerer,Storm Sorcery,10,Dragon Hide|Spell Sniper,42,12,10,14,10,13,12,18,,Arcana|Religion|Insight|Persuasion,Dagger,Control Flames*0|Firebolt*0|Mage Hand*0|Lightning Lure*0|Mending*0|Message*0|Comprehend Languages*1|Mage Armour*1|Suggestion*2|Web*2|Crown Of Madness*2|Counterspell*3|Tongues*3|Major Image*3|Polymorph*4|Sickening Radiance*4|Immolation*5
9b4c34,Mountain Dwarf,Clan Crafter,Paladin,OathBreaker,10,Squat Nimbleness,84,18,17,10,14,12,14,16,,Athletics|History|Insight|Intimidation|Persuasion,Javelin,Hellish Rebuke*1|Inflict Wounds*1|Thunderous Smite*1|Heroism*1|Cure Wounds*1|Protection From Evil And Good*1|Crown of Madness*2|Darkness*2|Zone Of Truth*2|Find Steed*2|Magic Weapon*2|Animate Dead*3|Bestow Curse*3|Remove Curse*3|Elemental Weapon*3
792235,Human,Knight,Fighter,Purple Dragon Knight,10,Sentinel|Mage Slayer|Shield Master,76,18,18,10,14,10,16,10,,History|Animal Handling|Insight|Perception|Performance|Persuasion,Longsword|Handaxe,
20a586,Wood Elf,Sage,Druid,Circle of the Land,10,Wood Elf Magic|Elven Accuracy,53,16,10,16,10,16,18,10,,Arcana|History|Nature|Medicine|Perception|Survival,Scimitar,Guidance*0|Mold Earth*0|Shape Water*0|Thorn Whip*0|Druidcraft*0|Create Or Destroy Water*1|Healing Word*1|Speak With Animals*1|Barkskin*2|Spider Climb*2|Animal Messenger*2|Skywrite*2|Lesser Restoration*2|Call Lightning*3|Plant Growth*3|Erupting Earth*3|Speak With Plants*3|Locate Animals Or Plants*3|Divination*4|Freedom of Movement*4|Watery Sphere*4|Conjure Woodland Beings*4|Commune with Nature*5|Tree Stride*5|Mass Cure Wounds*5|Wrath Of Nature*5|Greater Restoration*5
c44e4e,Half-Orc,Acolyte,Cleric,Nature Domain,10,Heavy Armor Master|Orcish Fury,73,18,18,10,14,12,15,8,Chaotic Neutral,History|Nature|Religion|Insight|Medicine|Intimidation,"Mace|Crossbow, light",Animal Friendship*1|Speak with Animals*1|Barkskin*2|Spike Growth*2|Plant Growth*3|Wind Wall*3|Dominate Beast*4|Grasping Vine*4|Insect Plague*5|Tree Stride*5
3cfb67,Protector Aasimar,Sailor,Bard,College of Glamour,10,Mobile,88,15,12,18,14,16,17,20,,Athletics|Acrobatics|Perception|Performance|Persuasion,Rapier|Dagger,Vicious Mockery*0|Dancing Lights*0|Charm Person*1|Detect Magic*1|Healing Word*1|Thunderwave*1|Silence*2|Crown Of Madness*2|Invisibility*2|Bestow Curse*3|Leomunds Tiny Hut*3|Nondetection*3|Dimension Door*4|Polymorph*4|Hallucinatory Terrain*4|Planar Binding*5|Seeming*5
3778bb,Lineage - Mamm,Noble,Warlock,The Hexblade,10,,73,16,10,13,14,12,10,20,true neutral,Arcana|History|Investigation|Persuasion,"Crossbow, light|Dagger|+2 Hex Rapier X2",Mage Hand(race)*0|Eldritch Blast*0|Toll the dead*0|Chill Touch*0|Presti*0|Shield*1|Armor Of Agathys*1|Hellish Rebuke*1|Floating Disk(1/day)*1|Unseen Servant(R)*1|Arcane Lock (1/day)*2|Misty Step*2|Gaseous Form*3|Banishment*4|Sickening Radiance*4|Synaptic Static*5
138968,Human,Sage,Wizard,School of Necromancy,10,,62,12,11,14,15,20,13,9,,Arcana|History|Religion|Insight,Quarterstaff,Animate Dead*3
4ac8d5,Dragonborn,Soldier,Paladin,Oath of Vengeance,10,Tough,94,18,18,12,13,10,8,16,,Athletics|Insight|Medicine|Intimidation,Longsword|Javelin,Bane*1|Hunter‰Ûªs Mark*1|Cure Wounds*1|Thuderous Smite*1|Hold Person*2|Misty Step*2|Cure Wounds*2|Haste*3|Cure Wounds*3
585f45,Human,Acolyte,Sorcerer,Shadow Magic,10,Lucky,80,13,11,17,18,13,16,20,,Arcana|Religion|Insight|Intimidation|Persuasion,"Crossbow, light|Dagger",Darkness*2
4208a5,Hill Dwarf,Folk Hero,Cleric,Trickery Domain,10,,100,22,16,16,18,13,20,14,lawful neutral,Animal Handling|Insight|Survival|Persuasion,"Warhammer|Crossbow, light",Guidance*0|Toll The Dead*0|Word Of Radiance*0|Spare The Dying*0|Sacred Flame*0|Charm Person*1|Disguise Self*1|Bless*1|Healing Wors*1|Cure Wounds*1|Mirror Image*2|Pass Without Trace*2|Prayer Of Healing*2|Spiritual Weapon*2|Blink*3|Dispel Magic*3|Bestow Curse*3|Mass Healing Word*3|Spirit Guardians*3|Tongues*3|Dimension Door*4|Polymorph*4|Banishment*4|Death Ward*4|Dominate Person*5|Modify Memory*5|Holy Weapon*5|Raise Dead*5|Flame Strike*5
382dea,Human,Criminal,Ranger,Horizon Walker,10,Lucky,100,17,11,20,18,12,16,14,,Athletics|Stealth|Investigation|Perception|Survival|Deception,Shortsword|Longbow,Protection from Evil and Good*1|Hunters Mark*1|Hail Of Thorns*1|Misty Step*2|Pass Without A Trace*2|Haste*3|Lightning Arrow*3
214c67,Mountain Dwarf,Folk Hero,Sorcerer,Divine Soul,10,,72,16,10,12,16,12,12,18,Neutral Good,Arcana|Religion|Animal Handling|Survival,"Crossbow, light|Dagger",Ray of Frost*0|Shocking Grasp*0|Guidance*0|Resistance*0|Message*0|Mage Hand*0|Cure Wounds*1|Shield*1|Guiding Bolt*1|Spiritual Weapon*2|Scorching Ray*2|Revivify*3|Fireball*3|Major Image*3|Banishment*4|Guardian of Faith*4|Wall of Light*5|Insect Plague*5
62c3d6,Kenku,Acolyte,Cleric,Grave Domain,10,,73,18,8,18,14,10,18,10,,Stealth|History|Religion|Insight|Medicine|Deception,"Mace|Crossbow, light",Spare the Dying*0|Guidance*0|Light*0|Sacred Flame*0|Word Of Radiance*0|Thaumaturgy*0|Bane*1|False Life*1|Guiding Bolt*1|Bless*1|Gentle Repose*2|Ray of Enfeeblement*2|Spiritual Weapon*2|Revivify*3|Vampiric Touch*3|Spirit Guardians*3|Mss Healing Word*3|Animate Dead*3|Dispel Magic*3|Sending*3|Speak To Dead*3|Glyph Of Warding*3|Blight*4|Death Ward*4|Banishment*4|Divination*4|Antilife Shell*5|Raise Dead*5|Mass Cure Wounds*5|Holy Weapon*5
17ded3,Hill Dwarf,Hermit,Druid,Circle of the Moon,10,,90,14,10,13,17,10,20,8,,Religion|Insight|Medicine|Perception,Scimitar,
99bac3,Dragonborn,Acolyte,Paladin,Oath of Vengeance,10,Great Weapon Master,90,16,17,11,16,9,10,14,,Athletics|Religion|Insight|Persuasion,Maul|Greatsword|Javelin,Bane*1|Hunter‰Ûªs Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3
8c54e5,Wood Elf,Criminal,Rogue,Assassin,10,Lucky,70,16,8,20,15,10,14,12,,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion,Rapier|Shortbow|Dagger,
3e1717,Human,Outlander,Ranger,Hunter,10,Sharpshooter,70,16,10,20,13,10,16,8,,Athletics|Stealth|Investigation|Insight|Perception|Survival,Shortsword|Longbow,
38ca26,Wood Elf,Criminal,Rogue,Swashbuckler,10,Elven Accuracy|Alert,90,16,14,20,14,11,14,17,,Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Performance|Persuasion,Rapier|Shortbow|Dagger,
